id_transaccion,id_usuario,fecha,hora,dias_antiguedad_cuenta,email_verificado,categoria,monto,es_online,tipo_tarjeta,pais_emision,pais_pago,mismo_envio_facturacion,tipo_dispositivo,sistema_operativo,dispositivo_nuevo,uso_vpn_proxy,paso_3d_secure,minutos_desde_ultima_tx,es_fraude
sdv-id-tUiVkk,d6c34b19-b4a3-4c95-9466-99843ecb1bd6,1970-01-01,13:01:05,660,harrisamy@example.org,Retail,1483.68,1,Amex,ESP,KOR,0,Mobile,macOS,0,1,0,40,1
sdv-id-HJXKtg,f28dacb1-2701-46e4-8c35-00bd60df109a,1970-01-01,23:26:00,1192,phunt@example.org,Health,139.92,1,Visa,ESP,NLD,0,Desktop,iOS,1,1,1,61,1
sdv-id-lCYdaJ,e540967a-5740-43b0-bc45-400ae1e3f5cf,1970-01-01,00:14:52,1444,victoria84@example.com,Gaming,114.82,1,Visa,ESP,EGY,1,Tablet,iOS,0,0,0,1057,0
sdv-id-UsjiOa,754182e8-f8cb-47ff-986b-3c2246527e16,1970-01-01,01:20:54,746,hamiltontammy@example.net,Tech,173.06,1,Amex,ESP,ESP,1,Desktop,Windows,1,0,0,2041,0
sdv-id-XWgqqB,97d20300-97f3-4baf-81fe-1d86e545fcc6,1970-01-01,01:53:12,1156,sgarcia@example.org,Food,39.97,1,Amex,ESP,VNM,1,Tablet,Windows,1,0,1,2144,0
sdv-id-asZUbi,bce05a63-197f-4b8d-879b-f5e62275b1e2,1970-01-01,04:37:52,228,ryanrogers@example.net,Retail,777.1,1,Visa,ESP,ESP,1,Desktop,Windows,1,1,1,278,0
sdv-id-NhKFMY,8edddfcd-1e52-4770-bf89-7142fe716b14,1970-01-01,03:21:58,31,stephanie65@example.net,Travel,1072.05,1,Amex,ESP,MEX,1,Tablet,Windows,1,1,1,66,1
sdv-id-GqRrVM,432da027-a8c5-492a-a4f9-6eedd192dcc4,1970-01-01,12:42:05,64,jessicanavarro@example.org,Retail,112.68,1,Amex,ESP,ESP,0,Tablet,Linux,0,1,0,63,1
sdv-id-eOzJVB,db6f3ad4-0cce-4325-9e88-ebab07fcb800,1970-01-01,23:59:54,115,uallen@example.net,Food,1546.09,1,Visa,ESP,VNM,0,Tablet,macOS,0,1,0,1958,0
sdv-id-POcORe,88ba1f6f-36a2-4607-9486-6e3cfd267a93,1970-01-01,10:05:47,193,riossara@example.net,Food,180.33,1,Visa,ESP,KEN,1,Desktop,Windows,0,1,0,2197,0
sdv-id-hoPjLO,a1ae96a0-c1df-4a89-acba-0cb1fdb99dc1,1970-01-01,00:09:46,960,derek46@example.com,Health,1859.21,1,Visa,ESP,USA,0,Tablet,Linux,0,1,0,2,1
sdv-id-QHRzBL,13d69792-126f-45ed-8485-e60db86ad0f8,1970-01-01,04:22:00,606,tdunn@example.com,Tech,66.22,1,Visa,ESP,ESP,1,Mobile,macOS,0,0,0,2879,0
sdv-id-aoWKDa,d11756d5-8c0d-4a8b-b448-a24723a86b61,1970-01-01,19:12:40,549,roblesbrad@example.net,Gaming,301.38,1,Amex,ESP,CHL,0,Mobile,iOS,1,0,0,11,1
sdv-id-plWLJx,9bd3cc80-d800-490a-9d55-30b0adf6ce2f,1970-01-01,10:20:10,1399,james31@example.com,Travel,176.05,1,Amex,ESP,CHN,1,Tablet,iOS,0,1,0,1776,0
sdv-id-jTBjKq,a71f4b37-4e35-4338-8124-98f96de27e22,1970-01-01,10:11:23,442,donald71@example.net,Food,931.08,1,Amex,ESP,KOR,0,Mobile,Linux,0,0,0,2,0
sdv-id-BQYJSh,82fba3d1-936f-48ce-beb4-5346f488fbc8,1970-01-01,17:43:10,275,alexanderrichard@example.net,Food,42.57,1,Visa,ESP,ESP,1,Mobile,Android,1,0,1,1299,0
sdv-id-GLVdHB,1af026df-3f64-45ee-bccd-9b8c8508df91,1970-01-01,02:51:44,380,angelabrown@example.org,Travel,1426.55,1,Visa,ESP,NLD,0,Tablet,Android,1,0,0,301,1
sdv-id-aJsoNa,ebd7fd91-5d5a-43aa-9e09-b6685422d954,1970-01-01,11:24:42,636,kristawagner@example.com,Food,833.68,1,Visa,ESP,THA,0,Mobile,Linux,1,0,1,672,0
sdv-id-iccDBS,c5af1533-2a7f-4785-a108-5513d9d0b0a2,1970-01-01,20:09:51,1199,doriswilliams@example.org,Health,61.75,1,Visa,ESP,ESP,1,Mobile,macOS,0,1,1,1712,0
sdv-id-PYfxNW,5b29317a-6675-45e2-b177-3294a4d21eae,1970-01-01,16:19:57,491,elewis@example.org,Retail,1252.26,1,Amex,ESP,ESP,1,Mobile,Linux,1,0,0,2105,1
sdv-id-xdLtDG,ca9128fb-c094-4932-92cb-8f692182b518,1970-01-01,20:46:09,1053,fjohnson@example.net,Travel,66.05,1,Visa,ESP,ITA,1,Tablet,macOS,0,1,1,1291,1
sdv-id-FMKdlL,e356fae8-de52-4433-8e38-c34611725478,1970-01-01,11:47:38,1168,wendy89@example.net,Travel,473.07,1,Amex,ESP,RUS,0,Mobile,Linux,1,0,1,120,1
sdv-id-yAdJNj,669f9a4a-f2eb-4d5a-b819-fa11f584be73,1970-01-01,16:38:09,298,charles05@example.net,Health,1800.87,1,Mastercard,ESP,ESP,0,Desktop,Linux,1,1,1,21,1
sdv-id-srfbOf,11c6d2ab-9f51-4516-9bfe-7b18b091e536,1970-01-01,03:01:41,1424,adrian73@example.org,Retail,67.98,1,Mastercard,ESP,BEL,0,Tablet,Android,1,0,1,2051,1
sdv-id-sBVoYG,59432772-64ba-42bf-9c99-f2bc55dcb8a8,1970-01-01,04:37:58,638,ewagner@example.net,Retail,1806.8,1,Visa,ESP,USA,0,Desktop,Android,1,1,0,3,1
